Year,Crop,Nitrogen,Phosphate,Potash
1988,Wheat,1740,643,307
1989,Wheat,1924,751,317
1990,Wheat,1800,723,323
1991,Wheat,1734,679,301
1992,Wheat,1889,688,254
1993,Wheat,1986,736,215
1994,Wheat,2050,726,227
1995,Wheat,1955,719,236
1996,Wheat,2208,755,263
1997,Wheat,2043,719,257
1998,Wheat,2017,735,279
1999,Wheat,1907,669,246
2000,Wheat,1891,636,228
2001,Wheat,1764,617,221
2002,Wheat,1751,632,227
2003,Wheat,1804,651,234
2004,Wheat,1957,697,216
2005,Wheat,1625,581,198
2006,Wheat,1430,538,138
2007,Wheat,1689,601,184
2008,Wheat,1647,731,175
2009,Wheat,1394,479,94
2010,Wheat,1331,458,90
2011,Wheat,1692,597,107
2012,Wheat,1584,555,152
2013,Wheat,NA,NA,NA
2014,Wheat,NA,NA,NA
2015,Wheat,1715,613,185
2016,Wheat,NA,NA,NA
1964,Other,1967,1787,1503
1965,Other,1589,1529,1185
1966,Other,1935,1609,1240
1967,Other,2035,1635,1333
1968,Other,2663,1788,1433
1969,Other,2648,2057,1541
1970,Other,2974,1743,1384
1971,Other,3385,2012,1728
1972,Other,3057,1926,1633
1973,Other,3137,2028,1767
1974,Other,3798,1864,1882
1975,Other,3317,1605,1553
1976,Other,3322,1478,1553
1977,Other,3658,1837,1993
1978,Other,3542,1569,1866
1979,Other,3686,1718,2149
1980,Other,4085,1618,2046
1981,Other,4030,1406,1870
1982,Other,3410,1236,1564
1983,Other,3183,1218,1564
1984,Other,3377,1310,1739
1985,Other,3675,1367,1790
1986,Other,3518,1104,1658
1987,Other,3971,1307,1826
1988,Other,3778,1121,1623
1989,Other,3628,1056,1537
1990,Other,3990,1271,1712
1991,Other,4243,1189,1789
1992,Other,4106,1204,1808
1993,Other,4445,1543,2091
1994,Other,5240,1605,2158
1995,Other,4752,1635,2254
1996,Other,4588,1391,1892
1997,Other,4816,1402,1694
1998,Other,4837,1586,1963
1999,Other,5212,1349,1657
2000,Other,4808,1262,1757
2001,Other,4805,1404,1710
2002,Other,4875,1623,1447
2003,Other,4916,1300,1647
2004,Other,5621,1729,2078
2005,Other,5021,1617,1983
2006,Other,5256,1617,1625
2007,Other,5229,1382,1775
2008,Other,5149,1035,1846
2009,Other,4746,827,908
2010,Other,4800,1079,1417
2011,Other,NA,NA,NA
2012,Other,NA,NA,NA
2013,Other,NA,NA,NA
2014,Other,NA,NA,NA
2015,Other,NA,NA,NA
2016,Other,NA,NA,NA
