rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Very friable,Soft,Noncemented,NA,NA,Slightly sticky,Slightly plastic,Yes,51720889,5110822
Very friable,Soft,Noncemented,NA,NA,Slightly sticky,Slightly plastic,Yes,51720944,5110825
Very friable,Soft,Noncemented,NA,NA,Slightly sticky,Slightly plastic,Yes,51720948,5110826
Very friable,Soft,Noncemented,NA,NA,Slightly sticky,Slightly plastic,Yes,51720952,5110823
Very friable,Soft,Noncemented,NA,NA,Slightly sticky,Slightly plastic,Yes,51721151,5110824
