hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Oa,NA,O,,NA,NA,13,NA,NA,216,NA,NA,203,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,5,8,20,NA,NA,NA,20,40,70,NA,NA,NA,0.35,0.45,0.55,NA,NA,NA,NA,NA,NA,NA,4,9,14,0.2,0.23,0.25,NA,NA,NA,45.4,48.9,52.3,9.8,16.6,26.8,56,60,64,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,45,90,157,33.8,67.5,118,NA,NA,NA,3.5,3.9,4.4,3.6,4,4.4,NA,NA,NA,NA,NA,NA,57.8,71.5,87.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728533,51720880
2Cg,2,C,,NA,NA,216,NA,NA,241,NA,NA,25,NA,0,0,0,0,0,0,100,100,100,98,98,100,76,79,92,20,23,36,NA,83,NA,NA,1.1,NA,NA,12,NA,NA,26.2,NA,NA,31.6,NA,NA,12.1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,5,8,20,NA,NA,NA,0.5,2.75,5,NA,NA,NA,1.4,1.53,1.65,NA,NA,NA,1.47,1.6,1.67,NA,42,92,141,0.05,0.07,0.08,18.8,23.7,29.7,13.1,19,27.3,4.1,9.5,20.7,33,38,43,0,1.5,2.9,7,13,20,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2.4,9.3,16.2,1.8,7,12.2,NA,NA,NA,4.5,5,5.5,4.5,5,5.5,NA,NA,NA,NA,NA,NA,10,13.6,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728533,51720881
A,NA,A,,NA,NA,0,NA,NA,20,NA,NA,20,NA,0,0,0,0,0,0,100,100,100,94,97,100,86,91,96,8,10,13,NA,97.3,NA,NA,0,NA,NA,1.3,NA,NA,18.3,NA,NA,63.4,NA,NA,14.3,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,0,2,4,NA,NA,NA,0.5,1.75,3,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,NA,1.73,NA,NA,141,212,282,0.02,0.05,0.08,9.5,14.7,17.4,5.4,10.9,14.4,0.9,4.3,7.9,31,34,36,0,1.5,2.9,7,8,10,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,7,14,20,8,12,16,1,5.5,10,NA,NA,NA,NA,NA,NA,3.5,6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728541,51720908
Cg,NA,C,,NA,NA,20,NA,NA,33,NA,NA,13,NA,0,0,0,0,0,0,100,100,100,94,97,100,70,74,79,5,7,10,NA,96.5,NA,NA,0.7,NA,NA,13.2,NA,NA,37.4,NA,NA,38,NA,NA,7.2,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0,2,4,NA,NA,NA,0.25,0.5,0.75,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,NA,1.73,NA,NA,141,212,282,0.02,0.05,0.08,8.1,12.4,14.7,4.1,8.2,10.9,0.5,2.2,4.1,32,35,37,0,1.5,2.9,7,10,14,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,7,14,20,8,12,16,1,5.5,10,NA,NA,NA,NA,NA,NA,3.5,6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.8,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728541,51720909
Ab,NA,A,,NA,NA,33,NA,NA,43,NA,NA,10,NA,0,0,0,0,0,0,100,100,100,94,97,100,70,74,79,5,7,10,NA,96.5,NA,NA,0.7,NA,NA,13.2,NA,NA,37.4,NA,NA,38,NA,NA,7.2,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0,2,4,NA,NA,NA,0.5,1.75,3,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,NA,1.73,NA,NA,141,212,282,0.02,0.05,0.08,9.5,14.6,17.4,5.4,10.9,14.3,0.9,4.2,7.8,31,34,36,0,1.5,2.9,7,10,14,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,7,14,20,8,12,16,1,5.5,10,NA,NA,NA,NA,NA,NA,3.5,6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728541,51720910
C'g,NA,C,',NA,NA,43,NA,NA,203,NA,NA,160,NA,0,0,0,0,0,0,100,100,100,94,97,100,70,74,79,5,7,10,NA,96.5,NA,NA,0.7,NA,NA,13.2,NA,NA,37.4,NA,NA,38,NA,NA,7.2,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,0,2,4,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.6,1.65,1.7,NA,NA,NA,NA,1.73,NA,NA,141,212,282,0.02,0.05,0.08,4.9,11.7,14.3,1.8,7.5,10.4,0.1,1.8,3.7,33,35,37,0,1.5,2.9,7,10,14,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,7,14,20,8,12,16,1,5.5,10,NA,NA,NA,NA,NA,NA,3.5,6,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728541,51720911
A,NA,A,,NA,NA,0,NA,NA,15,NA,NA,15,NA,0,0,0,0,0,0,100,100,100,98,98,100,89,93,98,27,30,34,NA,82.2,NA,NA,0,NA,NA,1.9,NA,NA,14.3,NA,NA,43.3,NA,NA,22.7,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,5,8.5,12,NA,NA,NA,0.5,1.25,2,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.26,1.36,1.42,NA,14,40,141,0.05,0.08,0.1,17.9,21.3,23.9,12.2,16,19.1,3.5,6.5,9.5,44,47,51,0,1.5,2.9,9,12,14,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,2.4,4.9,7.5,1.8,3.7,5.6,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,4.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728575,51721017
E,NA,E,,NA,NA,15,NA,NA,30,NA,NA,15,NA,0,0,0,0,0,0,100,100,100,98,98,100,89,93,98,27,30,34,NA,82.2,NA,NA,0,NA,NA,1.9,NA,NA,14.3,NA,NA,43.3,NA,NA,22.7,NA,NA,9.3,NA,NA,NA,NA,NA,NA,NA,5,8.5,12,NA,NA,NA,0.25,0.5,0.75,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.26,1.36,1.42,NA,14,40,141,0.05,0.08,0.1,17.5,20.4,22.7,11.7,14.9,17.7,3.2,5.5,7.9,44,48,52,0,1.5,2.9,9,12,14,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1.8,3.2,4.7,1.4,2.4,3.5,NA,NA,NA,4.5,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.9,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728575,51721018
Bt,NA,B,,NA,NA,30,NA,NA,102,NA,NA,72,NA,0,0,0,0,0,0,100,100,100,98,98,100,87,91,97,35,39,44,NA,69.6,NA,NA,0.1,NA,NA,3.2,NA,NA,15.8,NA,NA,33.4,NA,NA,17.1,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA,10,14,18,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.26,1.36,1.42,NA,14,28,42,0.09,0.11,0.13,NA,NA,NA,15.2,18,20.6,5.8,8.4,11.1,44,48,52,0,1.5,2.9,0,12.5,25,0,2,4,0,0,0,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,2.5,4.1,5.6,1.9,3,4.2,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728575,51721019
E',NA,E,',NA,NA,102,NA,NA,130,NA,NA,28,NA,0,0,0,0,0,0,100,100,100,98,98,100,75,79,84,10,14,18,NA,90.1,NA,NA,0.5,NA,NA,10.8,NA,NA,33.2,NA,NA,37.6,NA,NA,8,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,4,8,12,NA,NA,NA,0,0.25,0.5,NA,NA,NA,1.3,1.45,1.6,NA,NA,NA,1.37,1.52,1.67,NA,42,92,141,0.03,0.07,0.1,12.9,15.7,17.7,8.7,12.2,14.8,2.5,5.4,8.3,37,42,48,0,1.5,2.9,6,10,14,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6,4.1,0.8,1.9,3.1,NA,NA,NA,4.5,5.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.4,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17728575,51721020
