erokind,rvindicator,cokey,coeroacckey
Wind erosion,Yes,17728579,1236227
Sheet erosion,Yes,17728580,1236223
Wind erosion,Yes,17728581,1236228
Sheet erosion,Yes,17728603,1236225
Sheet erosion,Yes,17728604,1236224
Sheet erosion,Yes,17728605,1236226
Sheet erosion,Yes,17728606,1236222
Sheet erosion,Yes,17728607,1236230
Wind erosion,Yes,17728608,1236232
Rill erosion,Yes,17728609,1236229
Wind erosion,Yes,17728610,1236231
