geomftname,geomfname,geomfmod,geomfeatid,existsonfeat,rvindicator,cokey,cogeomdkey
Landform,flats,,NA,1,Yes,17728583,26874047
Landform,marine terraces,,1,NA,Yes,17728583,26874048
Landscape,coastal plains,,NA,NA,Yes,17728583,26874049
Landform,depressions,,NA,1,Yes,17728584,26874050
Landform,flats,,NA,1,No ,17728584,26874051
Landform,marine terraces,,1,NA,Yes,17728584,26874052
Landscape,coastal plains,,NA,NA,Yes,17728584,26874053
Landform,tidal marshes,,NA,NA,Yes,17728547,26874054
Landscape,esturaries,,NA,NA,Yes,17728547,26874055
Landscape,coastal plains,,NA,NA,Yes,17728542,26874058
Landform,marine terraces,,1,NA,Yes,17728542,26874057
Landform,flats,,NA,1,Yes,17728542,26874056
Landform,depressions,,NA,1,Yes,17728543,26874059
Landform,flats,,NA,1,No ,17728543,26874060
Landform,marine terraces,,1,NA,Yes,17728543,26874061
Landscape,coastal plains,,NA,NA,Yes,17728543,26874062
Landform,backswamps,,NA,1,Yes,17728553,26874063
Landform,stream terraces,,1,NA,Yes,17728553,26874064
Landscape,coastal plains,,NA,NA,Yes,17728553,26874065
Landform,backswamps,,NA,1,Yes,17728554,26874066
Landform,stream terraces,,1,NA,Yes,17728554,26874067
Landscape,coastal plains,,NA,NA,Yes,17728554,26874068
Landform,marine terraces,,1,NA,Yes,17728607,26874243
Landscape,coastal plains,,NA,NA,Yes,17728607,26874244
Landform,flats,slightly higher positions on,NA,1,No ,17728607,26874245
Landform,broad interstream divides,slightly higher positions on,NA,1,No ,17728607,26874246
Landform,Carolina Bays,,NA,1,No ,17728608,26874247
Landform,marine terraces,,1,NA,Yes,17728608,26874248
Landscape,coastal plains,,NA,NA,Yes,17728608,26874249
Landform,flats,depressions on,NA,1,No ,17728608,26874250
Landform,broad interstream divides,depressions on,NA,1,No ,17728608,26874251
Landscape,coastal plains,,2,NA,Yes,17728609,26874252
Landform,marine terraces,,1,2,Yes,17728609,26874253
Landform,Carolina Bays,,NA,1,No ,17728610,26874254
Landform,marine terraces,,1,NA,Yes,17728610,26874255
Landscape,coastal plains,,NA,NA,Yes,17728610,26874256
Landform,flats,depression on,NA,1,No ,17728610,26874257
Landform,broad interstream divides,depressions on,NA,1,No ,17728610,26874258
Landform,flats,,NA,1,Yes,17728592,26874069
Landform,marine terraces,,1,NA,Yes,17728592,26874070
Landscape,coastal plains,,NA,NA,Yes,17728592,26874071
Landform,depressions,,NA,1,Yes,17728593,26874072
Landform,flats,,NA,1,No ,17728593,26874073
Landform,marine terraces,,1,NA,Yes,17728593,26874074
Landscape,coastal plains,,NA,NA,Yes,17728593,26874075
Landform,flats,,NA,1,Yes,17728594,26874076
Landform,marine terraces,,1,NA,Yes,17728594,26874077
Landscape,coastal plains,,NA,NA,Yes,17728594,26874078
Landform,flood plains,,NA,NA,Yes,17728585,26874079
Landscape,coastal plains,,NA,NA,Yes,17728585,26874080
Landform,depressions,,NA,1,Yes,17728598,26874081
Landform,flats,,NA,1,No ,17728598,26874082
Landform,marine terraces,,1,NA,Yes,17728598,26874083
Landscape,coastal plains,,NA,NA,Yes,17728598,26874084
Landscape,barrier islands,,NA,NA,Yes,17728577,26874085
Landform,dunes,,NA,NA,Yes,17728577,26874086
Landform,barrier beaches,,NA,NA,Yes,17728578,26874087
Landform,barrier flats,,NA,NA,Yes,17728578,26874088
Landform,dune slacks,,NA,NA,Yes,17728548,26874089
Landscape,barrier islands,,NA,NA,No ,17728548,26874090
Landform,dunes,,NA,NA,Yes,17728548,26874091
Landform,flats,,NA,1,Yes,17728544,26874092
Landform,depressions,,NA,1,No ,17728544,26874093
Landform,broad interstream divides,,NA,1,No ,17728544,26874094
Landform,marine terraces,,1,NA,Yes,17728544,26874095
Landscape,coastal plains,,NA,NA,Yes,17728544,26874096
Landform,broad interstream divides,,NA,1,Yes,17728545,26874097
Landform,marine terraces,,1,NA,Yes,17728545,26874098
Landscape,coastal plains,,NA,NA,Yes,17728545,26874099
Landform,ridges,low,NA,1,Yes,17728545,26874100
Landform,flood plains,,NA,NA,Yes,17728546,26874101
Landscape,coastal plains,,NA,NA,Yes,17728546,26874102
Landform,flats,,NA,1,Yes,17728566,26874103
Landform,Carolina Bays,,NA,1,No ,17728566,26874104
Landform,broad interstream divides,,NA,1,No ,17728566,26874105
Landform,marine terraces,,1,NA,Yes,17728566,26874106
Landscape,coastal plains,,NA,NA,Yes,17728566,26874107
Landform,flats,,NA,1,Yes,17728567,26874108
Landform,depressions,,NA,1,No ,17728567,26874109
Landform,broad interstream divides,,NA,1,No ,17728567,26874110
Landform,marine terraces,,1,NA,Yes,17728567,26874111
Landscape,coastal plains,,NA,NA,Yes,17728567,26874112
Landform,broad interstream divides,,NA,1,Yes,17728568,26874113
Landform,flats,,NA,1,No ,17728568,26874114
Landform,marine terraces,,1,NA,Yes,17728568,26874115
Landscape,coastal plains,,NA,NA,Yes,17728568,26874116
Landform,ridges,low,NA,1,Yes,17728589,26874117
Landform,stream terraces,,1,NA,Yes,17728589,26874118
Landscape,coastal plains,,NA,NA,Yes,17728589,26874119
Landform,depressions,,NA,1,Yes,17728590,26874120
Landform,flats,,NA,1,No ,17728590,26874121
Landform,marine terraces,,1,NA,Yes,17728590,26874122
Landscape,coastal plains,,NA,NA,Yes,17728590,26874123
Landform,backswamps,,NA,1,Yes,17728611,26874124
Landform,stream terraces,,1,NA,Yes,17728611,26874125
Landscape,coastal plains,,NA,NA,Yes,17728611,26874126
Landform,flats,,NA,1,Yes,17728612,26874127
Landform,marine terraces,,1,NA,Yes,17728612,26874128
Landscape,coastal plains,,NA,NA,Yes,17728612,26874129
Landform,flats,,NA,1,Yes,17728565,26874130
Landform,broad interstream divides,,NA,1,No ,17728565,26874131
Landform,marine terraces,,1,NA,Yes,17728565,26874132
Landscape,coastal plains,,NA,NA,Yes,17728565,26874133
Landform,flats,,NA,1,Yes,17728591,26874134
Landform,broad interstream divides,,NA,1,No ,17728591,26874135
Landform,marine terraces,,1,NA,Yes,17728591,26874136
Landscape,coastal plains,,NA,NA,Yes,17728591,26874137
Anthropogenic Feature,sand pits,,NA,NA,Yes,17728536,26874139
