comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,7,NA,Norfolk,Series,No ,,,0,1,2,30,61,91,,5,86,3,Class 1,Crop cover,Row crop,,No,Well drained,7,25,50,200,0,160,"broad interstream divides on marine terraces, flats on marine terraces, coastal plains",NA,0.37,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,1,,NA,NA,NA,NA,NA,3a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,B,High,High,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,fine-loamy,not used,not used,not used,thermic,Typic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115539,17728605
NA,80,NA,Grifton,Series,Yes,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very low,4,86,3,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, depressions",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Fine-loamy, siliceous, semiactive, thermic Typic Endoaqualfs",Alfisols,Aqualfs,Endoaqualfs,Typic Endoaqualfs,fine-loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115540,17728555
NA,10,NA,Grifton,Series,Yes,DRAINED,drained,0,1,2,NA,NA,NA,Very low,4,86,3,Class 1,Crop cover,Row crop,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, depressions",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Fine-loamy, siliceous, semiactive, thermic Typic Endoaqualfs",Alfisols,Aqualfs,Endoaqualfs,Typic Endoaqualfs,fine-loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115540,17728556
NA,90,NA,Johns,Series,Yes,,,0,1,2,NA,NA,NA,Low,3,86,3,Class 1,Crop cover,Row crop,,No,Moderately well drained,7,25,50,0,0,0,"coastal plains, stream terraces",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,C,High,High,"Fine-loamy over sandy or sandy-skeletal, siliceous, semiactive, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,fine-loamy over sandy or sandy-skeletal,,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115541,17728534
NA,5,NA,Lumbee,Series,No ,UNDRAINED,undrained,0,1,2,NA,NA,NA,Negligible,3,86,3,Class 1,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"backswamps on stream terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,High,High,"Fine-loamy over sandy or sandy-skeletal, siliceous, subactive, thermic Typic Endoaquults",Ultisols,Aquults,Endoaquults,Typic Endoaquults,fine-loamy over sandy or sandy-skeletal,,subactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115541,17728535
NA,85,NA,Kureb,Series,Yes,,,0,4,6,NA,NA,NA,Very low,5,250,1,Class 1,Tree cover,Conifers,,No,Excessively drained,7,25,50,200,0,160,"rims on Carolina Bays, coastal plains, ridges on marine terraces",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,7,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,High,Low,"Thermic, uncoated Spodic Quartzipsamments",Entisols,Psamments,Quartzipsamments,Spodic Quartzipsamments,not used,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115542,17728582
NA,3,NA,Leon,Series,No ,,,0,1,2,NA,NA,NA,Very high,5,220,1,Class 1,Grass/herbaceous cover,Conifers,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Aeric Alaquods",Spodosols,Aquods,Alaquods,Aeric Alaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115542,17728583
NA,2,NA,Murville,Series,No ,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,200,0,160,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115542,17728584
NA,90,NA,Longshoal,Series,Yes,,tidal,0,1,1,NA,NA,NA,Very high,2,134,2,None - deposition,Grass/herbaceous cover,Marshland,Neither wooded nor farmable under natural conditions,Yes,Very poorly drained,0,0,1,0,0,0,"esturaries, tidal marshes",NA,0.09,NA,16,17,18,1067,1270,1473,NA,NA,NA,190,230,270,8,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,25,45,64,51,89,127,A/D,High,High,"Euic, thermic Typic Haplosaprists",Histosols,Saprists,Haplosaprists,Typic Haplosaprists,not used,not used,not used,euic,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115543,17728547
NA,80,NA,Leon,Series,Yes,,,0,1,2,NA,NA,NA,Very high,5,250,1,Class 1,Tree cover,Conifers,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Sandy, siliceous, thermic Aeric Alaquods",Spodosols,Aquods,Alaquods,Aeric Alaquods,sandy,not used,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115544,17728542
