comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,5,NA,Murville,Series,No ,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,200,0,160,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115544,17728543
NA,10,NA,Lumbee,Series,Yes,UNDRAINED,undrained,0,1,2,NA,NA,NA,Negligible,3,86,3,Class 1,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"backswamps on stream terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,High,High,"Fine-loamy over sandy or sandy-skeletal, siliceous, subactive, thermic Typic Endoaquults",Ultisols,Aquults,Endoaquults,Typic Endoaquults,fine-loamy over sandy or sandy-skeletal,,subactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115545,17728553
NA,80,NA,Lumbee,Series,Yes,DRAINED,drained,0,1,2,NA,NA,NA,Negligible,3,86,3,Class 1,Crop cover,Row crop,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"backswamps on stream terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,High,High,"Fine-loamy over sandy or sandy-skeletal, siliceous, subactive, thermic Typic Endoaquults",Ultisols,Aquults,Endoaquults,Typic Endoaquults,fine-loamy over sandy or sandy-skeletal,,subactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115545,17728554
NA,8,NA,Goldsboro,Series,No ,,,0,1,2,2,20,40,,5,86,3,Class 1,Crop cover,Row crop,,No,Moderately well drained,0,15,30,NA,NA,NA,"flats on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,17.5,18,21,1016,1270,1400,NA,NA,NA,200,235,280,2,w,NA,NA,NA,NA,NA,1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,A/D,High,High,"Fine-loamy, siliceous, subactive, thermic Aquic Paleudults",Ultisols,Udults,Paleudults,Aquic Paleudults,fine-loamy,not used,subactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115546,17728607
NA,5,NA,Rains,Series,No ,,drained,0,1,2,25,75,100,,5,86,3,Class 1,Crop cover,Row crop,Farmable under natural conditions,Yes,Poorly drained,0,15,30,NA,NA,NA,"flats on marine terraces, Carolina Bays on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,17.5,18,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,B,High,High,"Fine-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,C,115546,17728608
NA,82,NA,Lynchburg,Series,Yes,,,0,1,2,30,61,91,,5,86,3,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,0,15,30,NA,NA,NA,marine terraces on coastal plains,0.06,0.17,0.36,17.5,18,21,1016,1270,1400,NA,NA,NA,250,280,310,2,w,NA,NA,NA,NA,NA,2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,B/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Aeric Paleaquults",Ultisols,Aquults,Paleaquults,Aeric Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aeric,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115546,17728609
NA,5,NA,Rains,Series,No ,,undrained,0,1,2,25,75,100,,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Poorly drained,0,15,30,NA,NA,NA,"flats on marine terraces, Carolina Bays on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,17.5,18,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,A/D,High,Moderate,"Fine-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,OO,115546,17728610
NA,80,NA,Mandarin,Series,Yes,,,0,1,2,NA,NA,NA,Low,5,220,1,Class 1,,,,No,Somewhat poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,0,0,0,NA,NA,NA,B/D,High,High,"Sandy, siliceous, thermic Oxyaquic Alorthods",Spodosols,Orthods,Alorthods,Oxyaquic Alorthods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115547,17728592
NA,2,NA,Murville,Series,No ,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,200,0,160,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115547,17728593
NA,3,NA,Leon,Series,No ,,,0,1,2,NA,NA,NA,Very high,5,220,1,Class 1,Grass/herbaceous cover,Conifers,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Aeric Alaquods",Spodosols,Aquods,Alaquods,Aeric Alaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115547,17728594
NA,80,NA,Muckalee,Series,Yes,,undrained,0,1,2,NA,NA,NA,Negligible,5,56,5,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, flood plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Coarse-loamy, siliceous, superactive, nonacid, thermic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,coarse-loamy,not used,superactive,nonacid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115548,17728585
NA,80,NA,Murville,Series,Yes,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,200,0,160,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,not used,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115549,17728598
NA,85,NA,Newhan,Series,Yes,,,2,16,30,NA,NA,NA,Very low,5,250,1,Class 1,Grass/herbaceous cover,,,No,Excessively drained,1,3,7,200,45,160,"barrier islands, dunes",NA,0.37,NA,16,17,18,1067,1270,1473,NA,NA,NA,190,230,270,8,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,0,0,0,NA,NA,NA,A,High,High,"Thermic, uncoated Typic Quartzipsamments",Entisols,Psamments,Quartzipsamments,Typic Quartzipsamments,not used,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115550,17728577
NA,5,NA,Beaches,Miscellaneous area,No ,,,0,3,5,NA,NA,NA,Very high,NA,220,1,,Barren land,Sand and gravel,,Yes,Poorly drained,-1,1,2,0,120,180,"barrier beaches, barrier flats",NA,0.58,NA,16,17,18,1067,1270,1473,NA,NA,NA,190,230,270,8,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,0,0,0,NA,NA,NA,,High,,,,,,,,,,,,,,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115550,17728578
NA,85,NA,Newhan,Series,Yes,,,2,16,30,NA,NA,NA,Very low,5,250,1,Class 1,Grass/herbaceous cover,,,No,Excessively drained,0,2,3,200,45,160,"barrier islands, dunes, dune slacks",NA,0.37,NA,16,17,18,1067,1270,1473,NA,NA,NA,190,230,270,8,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,None,0,0,0,NA,NA,NA,A,High,High,"Thermic, uncoated Typic Quartzipsamments",Entisols,Psamments,Quartzipsamments,Typic Quartzipsamments,not used,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115551,17728548
NA,3,NA,Woodington,Series,No ,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very high,5,86,3,None - deposition,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"flats on marine terraces, depressions on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Coarse-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,coarse-loamy,,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115552,17728544
NA,85,NA,Norfolk,Series,Yes,,,2,4,6,NA,NA,NA,Low,5,134,2,Class 1,Crop cover,Row crop,,No,Well drained,7,25,50,200,0,160,"coastal plains, broad interstream divides on marine terraces, ridges on marine terraces",NA,0.37,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,2,e,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,High,High,"Fine-loamy, kaolinitic, thermic Typic Kandiudults",Ultisols,Udults,Kandiudults,Typic Kandiudults,fine-loamy,not used,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115552,17728545
NA,1,NA,Muckalee,Series,No ,,undrained,0,1,2,NA,NA,NA,Very high,5,56,5,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"coastal plains, flood plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,Moderate,High,"Coarse-loamy, siliceous, superactive, nonacid, thermic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,coarse-loamy,,superactive,nonacid,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115552,17728546
NA,2,NA,Rains,Series,No ,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very high,5,86,3,None - deposition,,,Wooded under natural conditions,Yes,Poorly drained,25,40,100,0,0,0,"flats on marine terraces, Carolina Bays on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,15,18,21,965,1270,1397,NA,NA,NA,210,243,265,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,fine-loamy,,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115553,17728566
NA,3,NA,Woodington,Series,No ,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very high,5,134,2,None - deposition,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, depressions on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Coarse-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,coarse-loamy,,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115553,17728567
NA,80,NA,Onslow,Series,Yes,,,0,2,2,NA,NA,NA,Low,5,86,3,Class 1,,,,No,Moderately well drained,7,25,50,200,0,160,"broad interstream divides on marine terraces, flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,C,High,High,"Fine-loamy, siliceous, semiactive, thermic Spodic Paleudults",Ultisols,Udults,Paleudults,Spodic Paleudults,fine-loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115553,17728568
NA,90,NA,Pactolus,Series,Yes,,,0,1,2,NA,NA,NA,Very low,5,250,1,Class 1,Tree cover,Conifers,,No,Moderately well drained,7,25,50,200,0,160,"ridges on stream terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,High,High,"Thermic, coated Aquic Quartzipsamments",Entisols,Psamments,Quartzipsamments,Aquic Quartzipsamments,not used,not used,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115554,17728589
NA,2,NA,Murville,Series,No ,,undrained,0,1,2,NA,NA,NA,Negligible,5,250,1,None - deposition,,,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,200,0,160,"depressions on marine terraces, flats on marine terraces, coastal plains",NA,0.09,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,5,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Umbric Endoaquods",Spodosols,Aquods,Endoaquods,Umbric Endoaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115554,17728590
NA,1,NA,Lumbee,Series,No ,UNDRAINED,undrained,0,1,1,NA,NA,NA,Negligible,3,86,3,Class 1,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"backswamps on stream terraces, coastal plains",NA,0.3,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,B/D,High,High,"Fine-loamy over sandy or sandy-skeletal, siliceous, subactive, thermic Typic Endoaquults",Ultisols,Aquults,Endoaquults,Typic Endoaquults,fine-loamy over sandy or sandy-skeletal,,subactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115554,17728611
NA,3,NA,Leon,Series,No ,,,0,1,2,NA,NA,NA,Very high,5,220,1,Class 1,Grass/herbaceous cover,Conifers,Wooded under natural conditions,Yes,Poorly drained,7,25,50,200,0,160,"flats on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,Low,"Sandy, siliceous, thermic Aeric Alaquods",Spodosols,Aquods,Alaquods,Aeric Alaquods,sandy,,not used,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115554,17728612
NA,10,NA,Pantego,Series,Yes,UNDRAINED,undrained,0,1,2,NA,NA,NA,Very high,5,56,5,Class 1,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,0,0,0,"flats on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Umbric Paleaquults",Ultisols,Aquults,Paleaquults,Umbric Paleaquults,fine-loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115555,17728565
NA,80,NA,Pantego,Series,Yes,DRAINED,drained,0,1,2,NA,NA,NA,Very high,5,56,5,Class 1,Crop cover,Row crop,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,0,0,0,"flats on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Umbric Paleaquults",Ultisols,Aquults,Paleaquults,Umbric Paleaquults,fine-loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115555,17728591
NA,100,NA,Pits,Miscellaneous area,Yes,,sand,0,2,3,NA,NA,NA,Very low,NA,220,1,None - deposition,Barren land,Sand and gravel,,No,,7,25,50,0,0,0,"coastal plains, sand pits",NA,0.51,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,8,s,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,NA,NA,NA,0,0,0,,,,,,,,,,,not used,,,,,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115556,17728536
NA,70,NA,Rains,Series,Yes,,undrained,0,1,2,25,75,100,,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"flats on marine terraces, Carolina Bays on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,4,w,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,B/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,OO,115557,17728579
NA,6,NA,Pantego,Series,No ,,ponded,0,1,2,30,61,91,,5,56,5,Class 1,Tree cover,Intermixed conifers and hardwoods,Wooded under natural conditions,Yes,Very poorly drained,7,25,50,0,0,0,"broad interstream divides, coastal plains, -- Error in Exists On --",NA,0.02,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,6,w,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,A/D,High,Moderate,"Fine-loamy, siliceous, semiactive, thermic Umbric Paleaquults",Ultisols,Aquults,Paleaquults,Umbric Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115557,17728580
NA,16,NA,Rains,Series,Yes,,drained,0,1,2,25,75,100,,5,86,3,Class 1,Crop cover,Row crop,Wooded under natural conditions,Yes,Poorly drained,7,25,50,0,0,0,"flats on marine terraces, Carolina Bays on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.16,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,B/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Typic Paleaquults",Ultisols,Aquults,Paleaquults,Typic Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,C,115557,17728581
NA,8,NA,Lynchburg,Series,No ,,,0,1,2,25,75,100,,5,86,3,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,7,25,50,0,0,0,"flats on marine terraces, broad interstream divides on marine terraces, coastal plains",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,3,w,NA,NA,NA,NA,NA,2a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,0,0,0,A/D,High,High,"Fine-loamy, siliceous, semiactive, thermic Aeric Paleaquults",Ultisols,Aquults,Paleaquults,Aeric Paleaquults,fine-loamy,not used,semiactive,not used,thermic,Aquic,thermic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115557,17728606
NA,80,NA,Tomahawk,Series,Yes,,,0,2,3,NA,NA,NA,Very low,5,134,2,Class 1,,,,No,Moderately well drained,7,25,50,200,0,160,"coastal plains, broad interstream divides on marine terraces, flats on marine terraces",NA,0.23,NA,15,17,21,1016,1270,1400,NA,NA,NA,200,235,280,2,w,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,A,High,High,"Loamy, siliceous, semiactive, thermic Aquic Arenic Hapludults",Ultisols,Udults,Hapludults,Aquic Arenic Hapludults,loamy,not used,semiactive,not used,thermic,,thermic,ninth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,,115558,17728613
