soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,122,122,152,Moist,185908918,115419394
122,122,152,203,203,203,Wet,185908918,115419395
0,0,0,0,8,15,Moist,185909315,115420039
0,8,15,203,203,203,Wet,185909315,115420040
0,0,0,0,8,15,Moist,185909316,115420041
0,8,15,203,203,203,Wet,185909316,115420042
0,0,0,0,8,15,Moist,185909317,115420043
0,8,15,203,203,203,Wet,185909317,115420044
0,0,0,0,15,30,Moist,185909318,115420045
0,15,30,203,203,203,Wet,185909318,115420046
0,0,0,15,30,46,Moist,185909319,115420047
15,30,46,203,203,203,Wet,185909319,115420048
0,0,0,203,203,203,Moist,185909320,115420049
0,0,0,203,203,203,Moist,185909321,115420050
0,0,0,203,203,203,Moist,185909322,115420051
0,0,0,203,203,203,Moist,185909323,115420052
0,0,0,122,137,152,Moist,185909324,115420053
122,137,152,203,203,203,Wet,185909324,115420054
0,0,0,30,46,76,Moist,185909325,115420055
30,46,76,203,203,203,Wet,185909325,115420056
0,0,0,0,8,15,Moist,185909326,115420057
0,8,15,203,203,203,Wet,185909326,115420058
0,0,0,15,23,30,Moist,185909015,115419564
15,23,30,203,203,203,Wet,185909015,115419565
0,0,0,15,23,30,Moist,185909016,115419566
15,23,30,203,203,203,Wet,185909016,115419567
0,0,0,15,23,30,Moist,185909017,115419568
15,23,30,203,203,203,Wet,185909017,115419569
0,0,0,30,46,76,Moist,185909018,115419570
30,46,76,203,203,203,Wet,185909018,115419571
0,0,0,46,81,122,Moist,185909019,115419572
46,81,122,203,203,203,Wet,185909019,115419573
0,0,0,122,137,152,Moist,185909020,115419574
122,137,152,203,203,203,Wet,185909020,115419575
0,0,0,203,203,203,Moist,185909021,115419576
0,0,0,203,203,203,Moist,185909022,115419577
0,0,0,203,203,203,Moist,185909023,115419578
0,0,0,122,137,152,Moist,185909024,115419579
122,137,152,203,203,203,Wet,185909024,115419580
0,0,0,15,30,46,Moist,185909025,115419581
15,30,46,203,203,203,Wet,185909025,115419582
0,0,0,15,23,30,Moist,185909026,115419583
15,23,30,203,203,203,Wet,185909026,115419584
0,0,0,122,152,183,Moist,185909027,115419585
122,152,183,152,168,183,Wet,185909027,115419586
152,168,183,203,203,203,Moist,185909027,115419587
0,0,0,203,203,203,Moist,185909028,115419588
0,0,0,122,152,183,Moist,185909029,115419589
122,152,183,152,183,183,Wet,185909029,115419590
152,183,183,203,203,203,Moist,185909029,115419591
0,0,0,122,122,183,Moist,185909030,115419592
122,122,183,152,183,183,Wet,185909030,115419593
152,183,183,203,203,203,Moist,185909030,115419594
0,0,0,122,122,183,Moist,185909031,115419595
122,122,183,152,183,183,Wet,185909031,115419596
152,183,183,203,203,203,Moist,185909031,115419597
0,0,0,203,203,203,Moist,185909032,115419598
0,0,0,203,203,203,Moist,185909033,115419599
0,0,0,122,152,183,Moist,185909034,115419600
122,152,183,152,168,183,Wet,185909034,115419601
152,168,183,203,203,203,Moist,185909034,115419602
0,0,0,152,152,183,Moist,185909035,115419603
152,152,183,152,168,183,Wet,185909035,115419604
152,168,183,203,203,203,Moist,185909035,115419605
0,0,0,152,152,183,Moist,185909036,115419606
152,152,183,152,168,183,Wet,185909036,115419607
152,168,183,203,203,203,Moist,185909036,115419608
0,0,0,203,203,203,Moist,185909037,115419609
0,0,0,203,203,203,Moist,185909038,115419610
0,0,0,0,15,30,Moist,185909039,115419611
0,15,30,203,203,203,Wet,185909039,115419612
0,0,0,0,15,30,Moist,185909040,115419613
0,15,30,203,203,203,Wet,185909040,115419614
0,0,0,0,15,30,Moist,185909041,115419615
0,15,30,203,203,203,Wet,185909041,115419616
0,0,0,0,15,30,Moist,185909042,115419617
0,15,30,203,203,203,Wet,185909042,115419618
0,0,0,15,30,46,Moist,185909043,115419619
15,30,46,203,203,203,Wet,185909043,115419620
0,0,0,203,203,203,Moist,185909044,115419621
0,0,0,203,203,203,Moist,185909045,115419622
0,0,0,203,203,203,Moist,185909046,115419623
0,0,0,203,203,203,Moist,185909047,115419624
0,0,0,122,137,152,Moist,185909048,115419625
122,137,152,203,203,203,Wet,185909048,115419626
0,0,0,30,46,122,Moist,185909049,115419627
30,46,122,203,203,203,Wet,185909049,115419628
0,0,0,0,15,30,Moist,185909050,115419629
0,15,30,203,203,203,Wet,185909050,115419630
0,0,0,203,203,203,Moist,185909615,115420518
0,0,0,203,203,203,Moist,185909616,115420519
0,0,0,203,203,203,Moist,185909617,115420520
0,0,0,203,203,203,Moist,185909618,115420521
0,0,0,203,203,203,Moist,185909619,115420522
0,0,0,203,203,203,Moist,185909620,115420523
0,0,0,203,203,203,Moist,185909621,115420524
0,0,0,203,203,203,Moist,185909622,115420525
0,0,0,203,203,203,Moist,185909623,115420526
0,0,0,203,203,203,Moist,185909624,115420527
0,0,0,203,203,203,Moist,185909625,115420528
0,0,0,203,203,203,Moist,185909626,115420529
0,0,0,0,15,30,Moist,185909567,115420443
0,15,30,203,203,203,Wet,185909567,115420444
0,0,0,0,15,30,Moist,185909568,115420445
0,15,30,203,203,203,Wet,185909568,115420446
0,0,0,0,15,30,Moist,185909569,115420447
0,15,30,203,203,203,Wet,185909569,115420448
0,0,0,0,15,30,Moist,185909570,115420449
0,15,30,203,203,203,Wet,185909570,115420450
0,0,0,0,15,30,Moist,185909571,115420451
0,15,30,203,203,203,Wet,185909571,115420452
0,0,0,0,15,30,Moist,185909572,115420453
0,15,30,203,203,203,Wet,185909572,115420454
0,0,0,0,15,30,Moist,185909573,115420455
0,15,30,203,203,203,Wet,185909573,115420456
0,0,0,0,15,30,Moist,185909574,115420457
0,15,30,203,203,203,Wet,185909574,115420458
0,0,0,0,15,30,Moist,185909575,115420459
0,15,30,203,203,203,Wet,185909575,115420460
0,0,0,0,15,30,Moist,185909576,115420461
0,15,30,203,203,203,Wet,185909576,115420462
0,0,0,0,15,30,Moist,185909577,115420463
0,15,30,203,203,203,Wet,185909577,115420464
0,0,0,0,15,30,Moist,185909578,115420465
0,15,30,203,203,203,Wet,185909578,115420466
0,0,0,0,46,46,Moist,185909051,115419631
0,46,46,203,203,203,Wet,185909051,115419632
0,0,0,0,15,15,Moist,185909052,115419633
0,15,15,203,203,203,Wet,185909052,115419634
0,0,0,0,15,15,Moist,185909053,115419635
0,15,15,203,203,203,Wet,185909053,115419636
0,0,0,0,15,15,Moist,185909054,115419637
0,15,15,203,203,203,Wet,185909054,115419638
0,0,0,0,46,46,Moist,185909055,115419639
0,46,46,203,203,203,Wet,185909055,115419640
0,0,0,0,30,30,Moist,185909056,115419641
0,30,30,203,203,203,Wet,185909056,115419642
0,0,0,0,15,15,Moist,185909057,115419643
0,15,15,203,203,203,Wet,185909057,115419644
0,0,0,0,30,30,Moist,185909058,115419645
0,30,30,203,203,203,Wet,185909058,115419646
0,0,0,0,15,15,Moist,185909059,115419647
0,15,15,203,203,203,Wet,185909059,115419648
0,0,0,0,30,30,Moist,185909060,115419649
0,30,30,203,203,203,Wet,185909060,115419650
0,0,0,0,46,46,Moist,185909061,115419651
0,46,46,203,203,203,Wet,185909061,115419652
0,0,0,0,30,30,Moist,185909062,115419653
0,30,30,203,203,203,Wet,185909062,115419654
0,0,15,203,203,203,Wet,185909627,115420530
0,0,15,203,203,203,Wet,185909628,115420531
0,0,15,203,203,203,Wet,185909629,115420532
0,0,15,203,203,203,Wet,185909630,115420533
0,0,15,203,203,203,Wet,185909631,115420534
0,0,0,0,15,30,Moist,185909632,115420535
0,15,25,203,203,203,Wet,185909632,115420536
0,0,0,122,137,152,Moist,185909633,115420537
0,10,25,203,203,203,Wet,185909633,115420538
0,0,0,25,46,76,Moist,185909634,115420539
0,10,25,203,203,203,Wet,185909634,115420540
0,0,0,122,137,152,Moist,185909635,115420541
0,10,25,203,203,203,Wet,185909635,115420542
0,0,0,122,137,152,Moist,185909636,115420543
0,15,25,203,203,203,Wet,185909636,115420544
0,0,0,122,137,152,Moist,185909637,115420545
0,15,25,203,203,203,Wet,185909637,115420546
0,0,0,122,137,152,Moist,185909638,115420547
0,10,25,203,203,203,Wet,185909638,115420548
122,137,152,203,203,203,Wet,185909639,115420549
0,0,0,122,137,152,Moist,185909639,115420550
0,0,0,30,46,76,Moist,185909640,115420551
30,46,76,203,203,203,Wet,185909640,115420552
0,0,0,0,15,30,Moist,185909641,115420553
0,15,30,15,30,120,Wet,185909641,115420554
0,0,0,15,23,30,Moist,185909642,115420555
15,23,30,203,203,203,Wet,185909642,115420556
0,0,0,46,81,122,Moist,185909643,115420557
0,10,30,203,203,203,Wet,185909643,115420558
0,0,0,0,15,30,Moist,185909644,115420559
0,10,20,10,20,30,Wet,185909644,115420560
0,0,0,203,203,203,Moist,185909645,115420561
0,0,0,203,203,203,Moist,185909646,115420562
0,0,30,203,203,203,Wet,185909647,115420563
0,0,30,203,203,203,Wet,185909648,115420564
0,15,30,203,203,203,Wet,185909649,115420565
0,15,30,203,203,203,Wet,185909650,115420566
0,0,0,122,137,152,Moist,185909651,115420567
0,15,25,203,203,203,Wet,185909651,115420568
0,0,0,46,81,122,Moist,185909652,115420569
0,15,30,203,203,203,Wet,185909652,115420570
0,0,0,203,203,203,Moist,185909653,115420571
0,15,25,203,203,203,Wet,185909653,115420572
0,0,0,46,81,122,Moist,185909654,115420573
0,15,25,203,203,203,Wet,185909654,115420574
0,0,0,122,137,152,Moist,185909655,115420575
0,15,25,203,203,203,Wet,185909655,115420576
0,0,0,203,203,203,Moist,185909656,115420577
0,15,25,203,203,203,Wet,185909656,115420578
0,0,0,203,203,203,Moist,185909657,115420579
0,15,25,203,203,203,Wet,185909657,115420580
0,0,0,203,203,203,Moist,185909658,115420581
0,15,25,203,203,203,Wet,185909658,115420582
0,0,0,0,0,30,Moist,185909659,115420583
0,0,30,203,203,203,Wet,185909659,115420584
0,0,30,203,203,203,Wet,185909660,115420585
0,0,0,0,0,30,Moist,185909660,115420586
0,15,20,203,203,203,Wet,185909661,115420587
0,0,0,0,0,30,Moist,185909661,115420588
0,0,0,0,0,30,Moist,185909662,115420589
0,0,30,203,203,203,Wet,185909662,115420590
0,0,0,0,30,30,Moist,185909159,115419802
0,30,30,203,203,203,Wet,185909159,115419803
0,0,0,0,30,30,Moist,185909160,115419804
0,30,30,203,203,203,Wet,185909160,115419805
0,0,0,0,30,30,Moist,185909161,115419806
0,30,30,203,203,203,Wet,185909161,115419807
0,0,0,0,30,30,Moist,185909162,115419808
0,30,30,203,203,203,Wet,185909162,115419809
0,0,0,0,30,30,Moist,185909163,115419810
0,30,30,203,203,203,Wet,185909163,115419811
0,0,0,0,30,30,Moist,185909164,115419812
0,30,30,203,203,203,Wet,185909164,115419813
0,0,0,0,30,30,Moist,185909165,115419814
0,30,30,203,203,203,Wet,185909165,115419815
0,0,0,0,30,30,Moist,185909166,115419816
0,30,30,203,203,203,Wet,185909166,115419817
0,0,0,0,30,30,Moist,185909167,115419818
0,30,30,203,203,203,Wet,185909167,115419819
0,0,0,0,30,30,Moist,185909168,115419820
0,30,30,203,203,203,Wet,185909168,115419821
0,0,0,0,30,30,Moist,185909169,115419822
0,30,30,203,203,203,Wet,185909169,115419823
0,0,0,0,30,30,Moist,185909170,115419824
0,30,30,203,203,203,Wet,185909170,115419825
0,0,0,0,8,15,Moist,185909171,115419826
0,8,15,203,203,203,Wet,185909171,115419827
0,0,0,0,8,15,Moist,185909172,115419828
0,8,15,203,203,203,Wet,185909172,115419829
0,0,0,0,8,15,Moist,185909173,115419830
0,8,15,203,203,203,Wet,185909173,115419831
0,0,0,0,8,15,Moist,185909174,115419832
0,8,15,203,203,203,Wet,185909174,115419833
0,0,0,0,8,15,Moist,185909175,115419834
0,8,15,203,203,203,Wet,185909175,115419835
0,0,0,0,8,15,Moist,185909176,115419836
0,8,15,203,203,203,Wet,185909176,115419837
0,0,0,0,8,15,Moist,185909177,115419838
0,8,15,203,203,203,Wet,185909177,115419839
0,0,0,0,8,15,Moist,185909178,115419840
0,8,15,203,203,203,Wet,185909178,115419841
0,0,0,0,8,15,Moist,185909179,115419842
0,8,15,203,203,203,Wet,185909179,115419843
0,0,0,0,8,15,Moist,185909180,115419844
0,8,15,203,203,203,Wet,185909180,115419845
0,0,0,0,8,15,Moist,185909181,115419846
0,8,15,203,203,203,Wet,185909181,115419847
0,0,0,0,8,15,Moist,185909182,115419848
0,8,15,203,203,203,Wet,185909182,115419849
0,0,0,46,61,91,Moist,185909183,115419850
46,61,91,203,203,203,Wet,185909183,115419851
0,0,0,46,61,107,Moist,185909184,115419852
46,61,107,203,203,203,Wet,185909184,115419853
0,0,0,61,76,122,Moist,185909185,115419854
61,76,122,203,203,203,Wet,185909185,115419855
0,0,0,76,91,137,Moist,185909186,115419856
76,91,137,203,203,203,Wet,185909186,115419857
0,0,0,91,122,152,Moist,185909187,115419858
91,122,152,203,203,203,Wet,185909187,115419859
0,0,0,203,203,203,Moist,185909188,115419860
0,0,0,203,203,203,Moist,185909189,115419861
0,0,0,203,203,203,Moist,185909190,115419862
0,0,0,203,203,203,Moist,185909191,115419863
0,0,0,91,122,152,Moist,185909192,115419864
91,122,152,203,203,203,Wet,185909192,115419865
0,0,0,61,76,122,Moist,185909193,115419866
61,76,122,203,203,203,Wet,185909193,115419867
0,0,0,46,61,91,Moist,185909194,115419868
46,61,91,203,203,203,Wet,185909194,115419869
0,0,0,203,203,203,Wet,185908823,115419259
0,0,0,203,203,203,Wet,185908824,115419260
0,0,0,203,203,203,Wet,185908825,115419261
0,0,0,203,203,203,Wet,185908826,115419262
0,0,0,203,203,203,Wet,185908827,115419263
0,0,0,203,203,203,Wet,185908828,115419264
0,0,0,203,203,203,Wet,185908829,115419265
0,0,0,203,203,203,Wet,185908830,115419266
0,0,0,203,203,203,Wet,185908831,115419267
0,0,0,203,203,203,Wet,185908832,115419268
0,0,0,203,203,203,Wet,185908833,115419269
0,0,0,203,203,203,Wet,185908834,115419270
0,0,0,0,8,15,Moist,185908919,115419396
0,8,15,203,203,203,Wet,185908919,115419397
0,0,0,0,8,15,Moist,185908920,115419398
0,8,15,203,203,203,Wet,185908920,115419399
0,0,0,0,8,15,Moist,185908921,115419400
0,8,15,203,203,203,Wet,185908921,115419401
0,0,0,0,8,15,Moist,185908922,115419402
0,8,15,203,203,203,Wet,185908922,115419403
0,0,0,0,8,15,Moist,185908923,115419404
0,8,15,203,203,203,Wet,185908923,115419405
0,0,0,0,8,15,Moist,185908924,115419406
0,8,15,203,203,203,Wet,185908924,115419407
0,0,0,0,8,15,Moist,185908925,115419408
0,8,15,203,203,203,Wet,185908925,115419409
0,0,0,0,8,15,Moist,185908926,115419410
0,8,15,203,203,203,Wet,185908926,115419411
0,0,0,0,8,15,Moist,185908927,115419412
0,8,15,203,203,203,Wet,185908927,115419413
0,0,0,0,8,15,Moist,185908928,115419414
0,8,15,203,203,203,Wet,185908928,115419415
0,0,0,0,8,15,Moist,185908929,115419416
0,8,15,203,203,203,Wet,185908929,115419417
0,0,0,0,8,15,Moist,185908930,115419418
0,8,15,203,203,203,Wet,185908930,115419419
0,0,0,61,61,107,Moist,185909327,115420059
61,61,107,203,203,203,Wet,185909327,115420060
0,0,0,61,84,107,Moist,185909328,115420061
61,84,107,203,203,203,Wet,185909328,115420062
0,0,0,91,91,122,Moist,185909329,115420063
91,91,122,203,203,203,Wet,185909329,115420064
0,0,0,122,152,183,Moist,185909330,115420065
122,152,183,203,203,203,Wet,185909330,115420066
0,0,0,203,203,203,Moist,185909331,115420067
0,0,0,203,203,203,Moist,185909332,115420068
0,0,0,203,203,203,Moist,185909333,115420069
0,0,0,203,203,203,Moist,185909334,115420070
0,0,0,203,203,203,Moist,185909335,115420071
0,0,0,122,152,183,Moist,185909336,115420072
122,152,183,203,203,203,Wet,185909336,115420073
0,0,0,61,84,107,Moist,185909337,115420074
61,84,107,203,203,203,Wet,185909337,115420075
0,0,0,61,61,107,Moist,185909338,115420076
61,61,107,203,203,203,Wet,185909338,115420077
0,0,0,0,15,30,Moist,185909339,115420078
0,15,30,203,203,203,Wet,185909339,115420079
0,0,0,0,15,30,Moist,185909340,115420080
0,15,30,203,203,203,Wet,185909340,115420081
0,0,0,0,15,30,Moist,185909341,115420082
0,15,30,203,203,203,Wet,185909341,115420083
0,0,0,0,15,30,Moist,185909342,115420084
0,15,30,203,203,203,Wet,185909342,115420085
0,0,0,46,81,122,Moist,185909343,115420086
46,81,122,203,203,203,Wet,185909343,115420087
0,0,0,122,137,152,Moist,185909344,115420088
122,137,152,203,203,203,Wet,185909344,115420089
0,0,0,203,203,203,Moist,185909345,115420090
0,0,0,203,203,203,Moist,185909346,115420091
0,0,0,203,203,203,Moist,185909347,115420092
0,0,0,122,137,152,Moist,185909348,115420093
122,137,152,203,203,203,Wet,185909348,115420094
0,0,0,15,31,46,Moist,185909349,115420095
15,31,46,203,203,203,Wet,185909349,115420096
0,0,0,0,15,30,Moist,185909350,115420097
0,15,30,203,203,203,Wet,185909350,115420098
30,35,46,203,203,203,Wet,185909663,115420591
0,0,0,30,35,46,Moist,185909663,115420592
0,0,0,30,35,46,Moist,185909664,115420593
30,35,46,203,203,203,Wet,185909664,115420594
0,0,0,30,35,46,Moist,185909665,115420595
30,35,46,203,203,203,Wet,185909665,115420596
61,76,91,203,203,203,Wet,185909666,115420597
0,0,0,61,76,91,Moist,185909666,115420598
91,122,152,203,203,203,Wet,185909667,115420599
0,0,0,91,122,152,Moist,185909667,115420600
0,0,0,203,203,203,Moist,185909668,115420601
0,0,0,203,203,203,Moist,185909669,115420602
0,0,0,203,203,203,Moist,185909670,115420603
0,0,0,203,203,203,Moist,185909671,115420604
0,0,0,203,203,203,Moist,185909672,115420605
0,0,0,91,122,152,Moist,185909673,115420606
91,122,152,203,203,203,Wet,185909673,115420607
30,35,46,203,203,203,Wet,185909674,115420608
0,0,0,30,35,46,Moist,185909674,115420609
0,0,0,91,91,122,Moist,185909675,115420610
91,91,122,203,203,203,Wet,185909675,115420611
0,0,0,203,203,203,Moist,185909676,115420612
0,0,0,203,203,203,Moist,185909677,115420613
0,0,0,61,61,91,Moist,185909678,115420614
61,61,91,203,203,203,Wet,185909678,115420615
0,0,0,122,152,183,Moist,185909679,115420616
122,152,183,203,203,203,Wet,185909679,115420617
0,0,0,122,152,183,Moist,185909680,115420618
122,152,183,203,203,203,Wet,185909680,115420619
0,0,0,61,76,91,Wet,185909681,115420620
61,76,91,203,203,203,Moist,185909681,115420621
0,0,0,203,203,203,Moist,185909682,115420622
0,0,0,203,203,203,Moist,185909683,115420623
0,0,0,61,61,91,Moist,185909684,115420624
61,61,91,203,203,203,Wet,185909684,115420625
0,0,0,61,76,91,Moist,185909685,115420626
61,76,91,203,203,203,Wet,185909685,115420627
0,0,0,91,91,122,Moist,185909686,115420628
91,91,122,203,203,203,Wet,185909686,115420629
0,0,0,203,203,203,Moist,185909687,115420630
122,152,203,203,203,203,Wet,185909688,115420631
0,0,0,122,152,203,Moist,185909688,115420632
0,0,0,203,203,203,Moist,185909689,115420633
0,0,0,102,122,183,Moist,185909690,115420634
102,122,183,203,203,203,Wet,185909690,115420635
0,0,0,203,203,203,Moist,185909691,115420636
0,0,0,102,122,183,Moist,185909692,115420637
102,122,183,203,203,203,Wet,185909692,115420638
0,0,0,203,203,203,Moist,185909693,115420639
102,122,183,203,203,203,Wet,185909694,115420640
0,0,0,102,122,183,Moist,185909694,115420641
0,0,0,203,203,203,Moist,185909695,115420642
