fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
1,2,8,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474469,90193728
1,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474469,90193729
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474469,90193730
1,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Very strongly cemented,52474470,90193731
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Very strongly cemented,52474470,90193732
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Subangular,Very strongly cemented,52474470,90193733
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Very strongly cemented,52474470,90193734
0,0,3,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474558,90193967
0,0,1,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474559,90193968
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474559,90193969
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Rounded,Strongly cemented,52474559,90193970
0,5,9,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474560,90193971
0,2,6,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474560,90193972
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Rounded,Strongly cemented,52474560,90193973
0,0,5,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474561,90193974
0,0,2,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474562,90193975
0,0,2,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474562,90193976
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Rounded,Strongly cemented,52474562,90193977
0,6,20,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474563,90193978
0,3,15,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474563,90193979
0,1,5,Mixed rock fragments,75,162,250,Nonflat,Rounded,Strongly cemented,52474563,90193980
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474564,90193981
0,0,3,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474564,90193982
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474565,90193983
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474565,90193984
0,2,6,Mixed rock fragments,5,40,75,Nonflat,Rounded,Strongly cemented,52474566,90193985
0,0,2,Mixed rock fragments,75,162,250,Nonflat,Rounded,Strongly cemented,52474566,90193986
0,3,9,Mixed rock fragments,2,4,5,Nonflat,Rounded,Strongly cemented,52474566,90193987
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474836,90194851
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474836,90194852
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474836,90194853
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474837,90194854
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474837,90194855
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474837,90194856
0,1,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474837,90194857
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474838,90194858
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474838,90194859
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474838,90194860
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474838,90194861
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474839,90194862
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474839,90194863
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474839,90194864
0,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474839,90194865
0,1,3,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474840,90194866
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474840,90194867
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474840,90194868
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474841,90194869
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474841,90194870
0,2,9,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474841,90194871
0,3,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474841,90194872
0,3,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474842,90194873
0,3,6,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474842,90194874
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474842,90194875
0,1,2,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474842,90194876
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474843,90194877
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474843,90194878
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474843,90194879
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474843,90194880
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474844,90194881
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474844,90194882
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474844,90194883
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474845,90194884
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474845,90194885
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474845,90194886
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474845,90194887
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474846,90194888
0,3,14,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474846,90194889
0,3,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474846,90194890
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474846,90194891
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474847,90194892
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474847,90194893
0,3,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474847,90194894
0,3,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474848,90194895
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474848,90194896
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474848,90194897
0,3,14,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474848,90194898
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474849,90194899
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474849,90194900
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474849,90194901
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474849,90194902
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474850,90194903
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474850,90194904
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474850,90194905
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474850,90194906
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474854,90194914
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474854,90194915
0,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474854,90194916
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474854,90194917
0,1,5,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474855,90194918
0,2,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474855,90194919
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474855,90194920
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474856,90194921
1,2,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474856,90194922
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474856,90194923
1,2,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474857,90194924
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474857,90194925
1,3,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474857,90194926
0,1,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474857,90194927
0,1,3,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474858,90194928
0,2,4,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474858,90194929
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474858,90194930
0,3,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474859,90194931
0,3,14,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474859,90194932
0,0,1,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474859,90194933
0,0,1,Mixed rock fragments,250,425,600,Nonflat,Subangular,Strongly cemented,52474860,90194934
0,4,10,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474860,90194935
0,3,10,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474860,90194936
0,1,2,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474860,90194937
0,1,3,Mixed rock fragments,75,162,250,Nonflat,Subangular,Strongly cemented,52474861,90194938
0,5,11,Mixed rock fragments,2,4,5,Nonflat,Subangular,Strongly cemented,52474861,90194939
0,4,11,Mixed rock fragments,5,40,75,Nonflat,Subangular,Strongly cemented,52474861,90194940
