musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
AdB,"Alexandria silt loam, 2 to 6 percent slopes",Consociation,NA,1038,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,,NA,NA,NA,NA,NA,11531,168535
BgB,"Bennington silt loam, 2 to 6 percent slopes",Consociation,NA,34011,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11531,168539
Bw,Bono silty clay loam,Consociation,NA,4303,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,,NA,NA,NA,NA,NA,11531,168545
EtA,"Elliott silt loam, 0 to 3 percent slopes",Consociation,NA,2398,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,,NA,NA,NA,NA,NA,11531,168560
Lu,Luray silty clay loam,Consociation,NA,18693,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,,NA,NA,NA,NA,NA,11531,168579
Pm,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",Consociation,NA,24143,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11531,168588
TrA,"Tiro silt loam, 0 to 2 percent slopes",Consociation,NA,23419,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11531,168593
BeA,"Bennington silt loam, 0 to 2 percent slopes",Consociation,NA,20403,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11531,1019357
Crd1B1,"Cardington silt loam, 2 to 6 percent slopes",Consociation,NA,9264,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,,Order 2,NA,NA,NA,NA,NA,11531,2996476
