musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
BgB,"Bennington silt loam, 2 to 6 percent slopes",NA,4,3.9,NA,22,22,None,None,6,5.12,8.86,15.6,20.22,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,97,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.949,Moderate,6,1,168539
Cr,Condit-Bennington silt loams,NA,1,1,NA,7,7,None,None,50,4.57,7.76,14.13,19.64,Poorly drained,Poorly drained,C/D,NA,100,3,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,0.999,Slight,60,1,168557
HpE,"Hennepin-Alexandria silt loams, 18 to 50 percent slopes",NA,30,30,NA,153,153,None,None,0,4.81,8.18,13.75,18.5,Well drained,Well drained,B,NA,100,7,50,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Severe,0,1,168570
Lo,Lobdell silt loam,NA,1,1,NA,69,69,Occasional,Occasional,0,4.26,8.26,16.26,23.57,Moderately well drained,Moderately well drained,C,NA,100,2,96,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.082,Slight,4,0.954,168578
Pm,"Pewamo silty clay loam, low carbonate till, 0 to 2 percent slopes",NA,1,1,NA,15,15,None,None,94,5.24,9.18,16.19,21.32,Very poorly drained,Very poorly drained,C/D,NA,100,2,91,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,94,1,168588
Sh,"Shoals silt loam, 0 to 2 percent slopes, frequently flooded",NA,1,1,NA,31,31,Frequent,Frequent,8,5.31,9.83,18.83,25.53,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,2,92,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.956,Slight,8,1,168591
BeA,"Bennington silt loam, 0 to 2 percent slopes",NA,1,1.2,NA,22,22,None,None,8,5.23,8.95,15.67,20.44,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,2,95,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,0.961,Slight,8,1,1019357
Crd1B1,"Cardington silt loam, 2 to 6 percent slopes",NA,3,2.8,NA,46,46,None,None,7,4.74,8.47,15.48,20.22,Moderately well drained,Moderately well drained,C/D,NA,100,2,96,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.521,Moderate,7,1,2996476
Crd1C2,"Cardington silt loam, 6 to 12 percent slopes, eroded",NA,9,8.4,NA,46,46,None,None,4,4.22,8.01,14.1,18.65,Moderately well drained,Moderately well drained,C/D,NA,100,3,95,Somewhat limited,Very limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Severe,4,0.965,2996690
