texcl,lieutex,chtgkey,chtkey
Silty clay loam,,105019793,106815006
Clay,,105019794,106815125
Silty clay,,105019795,106815243
Clay loam,,105019921,106815386
Silty clay loam,,105019922,106815387
Loam,,105019923,106815167
Silt loam,,105019924,106815388
Silty clay loam,,105019925,106815041
Clay loam,,105019926,106815168
Loam,,105019927,106815042
Silt loam,,105019928,106815279
Silt loam,,105019929,106815166
Clay loam,,105019889,106815389
Loam,,105019890,106815390
Silt loam,,105019891,106815391
Silty clay loam,,105019892,106815170
Clay loam,,105019897,106815396
Silty clay loam,,105019898,106815049
Silty clay loam,,105019908,106815285
Silty clay,,105019909,106815287
Clay loam,,105019910,106815286
Silty clay loam,,105019912,106815171
Silty clay,,105019913,106815172
Clay loam,,105019914,106815045
Silty clay loam,,105019918,106815040
Clay loam,,105019919,106815384
Silty clay,,105019920,106815385
Silty clay loam,,105019810,106814269
Silty clay loam,,105019811,106815004
Clay loam,,105019812,106815341
Silty clay,,105019813,106815342
Clay loam,,105019814,106815122
Silty clay loam,,105019815,106815003
Silt loam,,105019816,106815123
Silt loam,,105019817,106815239
Clay loam,,105019899,106815175
Silty clay loam,,105019900,106815050
Silty clay loam,,105019901,106815173
Silty clay loam,,105019902,106815047
Clay loam,,105019903,106815174
Clay,,105019904,106815048
Clay,,105019905,106815394
Silty clay,,105019906,106815395
Silty clay loam,,105019907,106815393
Clay loam,,105019758,106814115
Silty clay loam,,105019759,106814416
Silty clay,,105019760,106814116
Silty clay loam,,105019778,106814419
Clay,,105019779,106813964
Silty clay,,105019780,106814420
Clay loam,,105019784,106815335
Silty clay loam,,105019785,106815336
Silt loam,,105019799,106814421
Silty clay loam,,105019803,106815237
Clay loam,,105019804,106814424
Loam,,105019805,106815118
Silt loam,,105019806,106815000
Silty clay loam,,105019818,106815240
Clay loam,,105019819,106815241
Silty clay,,105019820,106815242
Silty clay loam,,105019845,106815337
Silt loam,,105019846,106815119
Silty clay loam,,105019887,106815281
Silt loam,,105019888,106815280
Silty clay loam,,105019893,106815282
Clay loam,,105019894,106815043
Silty clay,,105019895,106815169
Clay,,105019896,106815044
Silt loam,,105019911,106815392
Clay loam,,105019915,106815046
Silty clay loam,,105019916,106815283
Silt loam,,105019917,106815284
