comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,50,NA,Alexandria,Taxadjunct,Yes,ERODED,,18,30,50,NA,23,NA,,5,56,5,Class 1,,,,No,Well drained,229,275,320,360,135,0,"till plains, moraines",NA,0.3,NA,10,12,13,838,927,1016,NA,NA,NA,158,161,164,6,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,B,Moderate,High,"Fine, illitic, mesic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168570,17960977
NA,NA,NA,Shoals,Series,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,flood plains,NA,0.23,NA,9,10,13,864,914,1067,NA,NA,NA,140,160,180,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168570,17961008
NA,NA,NA,Rock outcrops,Miscellaneous area,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168570,17961009
NA,NA,NA,Shoals,Series,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,flood plains,NA,0.23,NA,9,10,13,864,914,1067,NA,NA,NA,140,160,180,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168578,17961018
NA,96,NA,Lobdell,Series,Yes,,,0,1,2,NA,61,NA,,5,48,6,Class 1,,,,No,Moderately well drained,274,290,305,360,135,0,flood plains,NA,0.37,NA,8,11,14,762,889,1016,NA,NA,NA,133,163,193,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,NA,NA,NA,NA,C,Low,High,"Fine-loamy, mixed, mesic Fluvaquentic Eutrochrepts",Inceptisols,Ochrepts,Eutrochrepts,Fluvaquentic Eutrochrepts,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168578,17961019
NA,NA,NA,Gravel below 40 inches,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168578,17961020
NA,4,NA,Sloan,Series,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,360,135,0,"depressions, abandoned channels",NA,0.23,NA,9,10,13,864,914,1067,NA,NA,NA,140,160,180,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168578,17961021
NA,NA,NA,Well drained soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168578,17961022
0,9,12,Condit,Series,No ,,,0,1,2,15,31,46,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,244,275,305,360,135,0,"depressions on till plains, drainageways on till plains",0.23,0.3,0.3,9,10,12,864,965,1067,NA,NA,NA,145,165,180,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Typic Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Typic Epiaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168588,17961049
0,6,9,Bennington,Series,No ,,,0,1,3,15,31,46,High,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,244,275,305,360,135,0,"end moraines on till plains, ground moraines on till plains",0.29,0.29,0.37,9,10,12,864,965,1067,NA,NA,NA,145,165,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aeric Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Aeric Epiaqualfs,fine,not used,not used,not used,mesic,Aeric,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168588,17961050
