plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PLOC,Platanus occidentalis,American sycamore,17961219,30923250
QUBI,Quercus bicolor,swamp white oak,17961219,30923251
QUPA2,Quercus palustris,pin oak,17961219,30923252
FRAM2,Fraxinus americana,white ash,17961224,30923305
ACRU,Acer rubrum,red maple,17961224,30923306
FRPE,Fraxinus pennsylvanica,green ash,17961224,30923307
PIAB,Picea abies,Norway spruce,17961224,30923308
ACSA2,Acer saccharinum,silver maple,17961224,30923309
PODE3,Populus deltoides,eastern cottonwood,17961224,30923310
LIST2,Liquidambar styraciflua,sweetgum,17961224,30923311
PLOC,Platanus occidentalis,American sycamore,17961224,30923312
QUBI,Quercus bicolor,swamp white oak,17961224,30923313
QUPA2,Quercus palustris,pin oak,17961224,30923314
QUBI,Quercus bicolor,swamp white oak,17961227,30923315
QUPA2,Quercus palustris,pin oak,17961227,30923316
TADI2,Taxodium distichum,baldcypress,17961227,30923317
PLOC,Platanus occidentalis,American sycamore,17961227,30923318
LIST2,Liquidambar styraciflua,sweetgum,17961227,30923319
ACSA2,Acer saccharinum,silver maple,17961227,30923320
PODE3,Populus deltoides,eastern cottonwood,17961227,30923321
FRPE,Fraxinus pennsylvanica,green ash,17961227,30923322
ACRU,Acer rubrum,red maple,17961227,30923323
PIAB,Picea abies,Norway spruce,17961227,30923324
FRAM2,Fraxinus americana,white ash,17961227,30923325
FRAM2,Fraxinus americana,white ash,17961228,30923326
ACRU,Acer rubrum,red maple,17961228,30923327
PIST,Pinus strobus,eastern white pine,17961228,30923328
FRPE,Fraxinus pennsylvanica,green ash,17961228,30923329
PIAB,Picea abies,Norway spruce,17961228,30923330
PIAB,Picea abies,Norway spruce,17961229,30923331
ROPS,Robinia pseudoacacia,black locust,17961229,30923332
PIST,Pinus strobus,eastern white pine,17961229,30923333
ACRU,Acer rubrum,red maple,17961229,30923334
FRPE,Fraxinus pennsylvanica,green ash,17961229,30923335
PINI,Pinus nigra,Austrian pine,17961229,30923336
PRSE2,Prunus serotina,black cherry,17961229,30923337
QUVE,Quercus velutina,black oak,17961229,30923338
FRAM2,Fraxinus americana,white ash,17961229,30923339
PIPU,Picea pungens,blue spruce,17961229,30923340
PIRE,Pinus resinosa,red pine,17961229,30923341
QUAL,Quercus alba,white oak,17961229,30923342
QURU,Quercus rubra,northern red oak,17961229,30923343
PIGL,Picea glauca,white spruce,17961229,30923344
PODE3,Populus deltoides,eastern cottonwood,17961229,30923345
LITU,Liriodendron tulipifera,tuliptree,17961229,30923346
PISY,Pinus sylvestris,Scotch pine,17961229,30923347
QUPA2,Quercus palustris,pin oak,17961229,30923348
ABFR,Abies fraseri,Fraser fir,17961229,30923349
PLOC,Platanus occidentalis,American sycamore,17961229,30923350
JUNI,Juglans nigra,black walnut,17961229,30923351
QUBI,Quercus bicolor,swamp white oak,17961230,30923352
QUPA2,Quercus palustris,pin oak,17961230,30923353
PLOC,Platanus occidentalis,American sycamore,17961230,30923354
ACSA2,Acer saccharinum,silver maple,17961230,30923355
LITU,Liriodendron tulipifera,tuliptree,17961230,30923356
PIRE,Pinus resinosa,red pine,17961230,30923357
