texcl,lieutex,chtgkey,chtkey
Silty clay loam,,102065912,103818255
Silt loam,,102065913,103817858
Loam,,102065914,103817859
Silty clay loam,,102065915,103817860
Clay loam,,102065916,103817488
Loam,,102065917,103817703
Silt loam,,102065918,103818313
Silty clay loam,,102066052,103817691
Silt loam,,102066427,103817451
Silty clay loam,,102066428,103817450
Silty clay loam,,102066429,103818212
Clay loam,,102066430,103818210
Silt loam,,102066431,103817596
Silty clay loam,,102066432,103817449
Silt loam,,102066433,103818209
Silty clay loam,,102066434,103817595
Clay loam,,102066435,103817594
Silty clay loam,,102066436,103817739
Silt loam,,102066437,103817738
Silty clay loam,,102066030,103817487
Loam,,102066033,103817641
Sandy loam,,102066034,103818253
Clay loam,,102066035,103817789
Silt loam,,102066036,103817792
Silty clay loam,,102066043,103817848
Silty clay,,102066044,103817849
Clay loam,,102066046,103817692
Silt loam,,102066047,103818304
Silty clay loam,,102066048,103817693
Loam,,102066049,103817528
Silt loam,,102066421,103818207
Loam,,102066424,103817452
Clay loam,,102066425,103818211
Sandy loam,,102066426,103817597
Silty clay loam,,102066031,103817640
Silt loam,,102066032,103818252
Silty clay loam,,102066045,103818303
Silt loam,,102066050,103817529
Loam,,102066051,103817530
Silty clay loam,,102066411,103817593
Silt loam,,102066412,103817736
Silty clay loam,,102066419,103817591
Silt loam,,102066420,103818206
Silty clay loam,,102066422,103817598
Loam,,102066422,103817599
Loamy sand,,102066423,103818239
Silty clay loam,,102066438,103817737
Clay loam,,102065919,103817489
Sandy loam,,102066037,103817790
Clay loam,,102066037,103817791
Silty clay loam,,102066038,103817689
Silty clay loam,,102066039,103818302
Silty clay,,102066040,103817690
Silty clay loam,,102066041,103817846
Silt loam,,102066042,103817847
Silty clay loam,,102066413,103818208
Silty clay loam,,102066414,103817592
Loam,,102066415,103817448
Sandy loam,,102066416,103817447
Loam,,102066417,103817445
Clay loam,,102066418,103817446
