ecoclasstypename,ecoclassref,ecoclassid,ecoclassname,cokey,coecoclasskey
Missouri Vegetative Classes,NA,Herbaceous Vegetation,Grass/Prairie,17483853,5441817
Missouri Vegetative Classes,NA,Herbaceous Vegetation,Grass/Prairie,17483854,5441818
