musym,muname,mukind,mustatus,muacres,mapunitlfw.l,mapunitlfw.r,mapunitlfw.h,mapunitpfa.l,mapunitpfa.r,mapunitpfa.h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
171B,"Catlin silt loam, 2 to 5 percent slopes",Consociation,NA,35891,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183886
154A,"Flanagan silt loam, 0 to 2 percent slopes",Consociation,NA,57001,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183889
356A,"Elpaso silty clay loam, 0 to 2 percent slopes",Consociation,NA,65047,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183894
152A,"Drummer silty clay loam, 0 to 2 percent slopes",Consociation,NA,42603,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183901
198A,"Elburn silt loam, 0 to 2 percent slopes",Consociation,NA,9384,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183909
330A,"Peotone silty clay loam, 0 to 2 percent slopes",Consociation,NA,2841,NA,NA,NA,NA,NA,NA,Prime farmland if drained,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183920
512B,"Danabrook silt loam, 2 to 5 percent slopes",Consociation,NA,56027,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183927
59A,"Lisbon silt loam, 0 to 2 percent slopes",Consociation,NA,4919,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183929
679B,"Blackberry silt loam, 2 to 5 percent slopes",Consociation,NA,2405,NA,NA,NA,NA,NA,NA,All areas are prime farmland,NA,NA,NA,NA,Order 2,NA,NA,NA,NA,NA,11320,183947
