cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Oats,Bu,41,46,52,NA,NA,NA,NA,NA,17483924,36231682
Grass-legume hay,Tons,2.67,2.96,3.35,NA,NA,NA,NA,NA,17483924,36231683
Grass-legume pasture,AUM,4.44,4.94,5.58,NA,NA,NA,NA,NA,17483924,36231684
Corn,Bu,131,145,164,NA,NA,NA,NA,NA,17483925,36231685
Soybeans,Bu,43,48,55,NA,NA,NA,NA,NA,17483925,36231686
Winter wheat,Bu,49,54,61,NA,NA,NA,NA,NA,17483925,36231687
Oats,Bu,62,69,78,NA,NA,NA,NA,NA,17483925,36231688
Grass-legume hay,Tons,4,4.44,5.02,NA,NA,NA,NA,NA,17483925,36231689
Grass-legume pasture,AUM,6.66,7.4,8.37,NA,NA,NA,NA,NA,17483925,36231690
Grass-legume pasture,AUM,NA,7.4,NA,NA,NA,NA,NA,NA,17483911,36231601
Corn,Bu,NA,173,NA,NA,NA,NA,NA,NA,17483911,36231602
Grass-legume hay,Tons,NA,5.04,NA,NA,NA,NA,NA,NA,17483911,36231603
Oats,Bu,NA,89,NA,NA,NA,NA,NA,NA,17483911,36231604
Soybeans,Bu,NA,56,NA,NA,NA,NA,NA,NA,17483911,36231605
Winter wheat,Bu,NA,65,NA,NA,NA,NA,NA,NA,17483911,36231606
Grass-legume hay,Tons,NA,5.2,NA,NA,NA,NA,NA,NA,17483912,36231607
Grass-legume pasture,AUM,NA,7.7,NA,NA,NA,NA,NA,NA,17483912,36231608
Corn,Bu,NA,176,NA,NA,NA,NA,NA,NA,17483912,36231609
Oats,Bu,NA,92,NA,NA,NA,NA,NA,NA,17483912,36231610
Soybeans,Bu,NA,57,NA,NA,NA,NA,NA,NA,17483912,36231611
Winter wheat,Bu,NA,60,NA,NA,NA,NA,NA,NA,17483912,36231612
Corn,Bu,NA,166,NA,NA,NA,NA,NA,NA,17483913,36231613
Oats,Bu,NA,89,NA,NA,NA,NA,NA,NA,17483913,36231614
Grass-legume hay,Tons,NA,5.7,NA,NA,NA,NA,NA,NA,17483913,36231615
Soybeans,Bu,NA,52,NA,NA,NA,NA,NA,NA,17483913,36231616
Winter wheat,Bu,NA,65,NA,NA,NA,NA,NA,NA,17483913,36231617
Grass-legume pasture,AUM,NA,8.4,NA,NA,NA,NA,NA,NA,17483913,36231618
Corn,Bu,153,170,192,NA,NA,NA,NA,NA,17484004,36232131
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17484004,36232132
Winter wheat,Bu,59,65,74,NA,NA,NA,NA,NA,17484004,36232133
Oats,Bu,79,88,99,NA,NA,NA,NA,NA,17484004,36232134
Grass-legume hay,Tons,4.6,5.11,5.77,NA,NA,NA,NA,NA,17484004,36232135
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17484004,36232136
Corn,Bu,148,164,188,NA,NA,NA,NA,NA,17484005,36232137
Soybeans,Bu,46,51,59,NA,NA,NA,NA,NA,17484005,36232138
Winter wheat,Bu,60,67,74,NA,NA,NA,NA,NA,17484005,36232139
Oats,Bu,83,92,104,NA,NA,NA,NA,NA,17484005,36232140
Grass-legume hay,Tons,4.6,5.11,5.64,NA,NA,NA,NA,NA,17484005,36232141
Grass-legume pasture,AUM,7.67,8.52,9.4,NA,NA,NA,NA,NA,17484005,36232142
Corn,Bu,155,172,195,NA,NA,NA,NA,NA,17484006,36232143
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17484006,36232144
Winter wheat,Bu,58,64,73,NA,NA,NA,NA,NA,17484006,36232145
Oats,Bu,80,89,100,NA,NA,NA,NA,NA,17484006,36232146
Grass-legume hay,Tons,4.5,5,5.64,NA,NA,NA,NA,NA,17484006,36232147
Grass-legume pasture,AUM,7.5,8.33,9.4,NA,NA,NA,NA,NA,17484006,36232148
Corn,Bu,156,173,195,NA,NA,NA,NA,NA,17484007,36232149
Soybeans,Bu,50,56,63,NA,NA,NA,NA,NA,17484007,36232150
Winter wheat,Bu,53,59,66,NA,NA,NA,NA,NA,17484007,36232151
Oats,Bu,81,90,102,NA,NA,NA,NA,NA,17484007,36232152
Grass-legume hay,Tons,4.6,5.11,5.77,NA,NA,NA,NA,NA,17484007,36232153
Grass-legume pasture,AUM,7.67,8.52,9.62,NA,NA,NA,NA,NA,17484007,36232154
Grass-legume pasture,AUM,NA,7.4,NA,NA,NA,NA,NA,NA,17483905,36231571
Corn,Bu,NA,173,NA,NA,NA,NA,NA,NA,17483905,36231572
Grass-legume hay,Tons,NA,5.04,NA,NA,NA,NA,NA,NA,17483905,36231573
Oats,Bu,NA,89,NA,NA,NA,NA,NA,NA,17483905,36231574
Soybeans,Bu,NA,56,NA,NA,NA,NA,NA,NA,17483905,36231575
Winter wheat,Bu,NA,65,NA,NA,NA,NA,NA,NA,17483905,36231576
Grass-legume pasture,AUM,NA,9.6,NA,NA,NA,NA,NA,NA,17483906,36231577
Corn,Bu,NA,150,NA,NA,NA,NA,NA,NA,17483906,36231578
Grass-legume hay,Tons,NA,5.7,NA,NA,NA,NA,NA,NA,17483906,36231579
Oats,Bu,NA,89,NA,NA,NA,NA,NA,NA,17483906,36231580
Soybeans,Bu,NA,45,NA,NA,NA,NA,NA,NA,17483906,36231581
Winter wheat,Bu,NA,59,NA,NA,NA,NA,NA,NA,17483906,36231582
