musym,muname,mustatus,slopegraddcp,slopegradwta,brockdepmin,wtdepannmin,wtdepaprjunmin,flodfreqdcd,flodfreqmax,pondfreqprs,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswettest,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdcd,urbrecptwta,forpehrtdcp,hydclprs,awmmfpwwta,mukey
171B,"Catlin silt loam, 2 to 5 percent slopes",NA,3,3,NA,81,81,None,None,0,5.5,9.81,17.81,23.35,Moderately well drained,Moderately well drained,C,NA,100,2,99,Somewhat limited,Somewhat limited,Not rated,Not rated,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.051,Moderate,0,0.753,183886
154A,"Flanagan silt loam, 0 to 2 percent slopes",NA,0.9,0.9,NA,46,46,None,None,4,5.23,9.42,17.17,23.91,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,95,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Not rated,Somewhat limited,0.459,Slight,4,1,183889
356A,"Elpaso silty clay loam, 0 to 2 percent slopes",NA,0.5,0.5,NA,15,15,None,None,100,4.74,9.48,18.51,26.42,Poorly drained,Poorly drained,B/D,NA,100,2,98,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,183894
152A,"Drummer silty clay loam, 0 to 2 percent slopes",NA,0.5,0.5,NA,15,15,None,None,100,4.51,8.87,17.39,24.3,Poorly drained,Poorly drained,B/D,NA,100,2,97,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1,Slight,100,1,183901
198A,"Elburn silt loam, 0 to 2 percent slopes",NA,1,1,NA,46,46,None,None,7,5.22,10.08,18.58,26.37,Somewhat poorly drained,Somewhat poorly drained,B/D,NA,100,1,93,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Fair,Fair,Somewhat limited,0.475,Slight,7,1,183909
330A,"Peotone silty clay loam, 0 to 2 percent slopes",NA,0.5,0.5,NA,15,15,None,None,100,4.43,8.68,16.56,24.52,Very poorly drained,Very poorly drained,C/D,NA,100,3,95,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1,Slight,100,1,183920
512B,"Danabrook silt loam, 2 to 5 percent slopes",NA,3.5,3.5,NA,84,84,None,None,0,5.75,10.82,20,26.2,Moderately well drained,Moderately well drained,C,NA,90,2,90,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.043,Moderate,0,0.677,183927
59A,"Lisbon silt loam, 0 to 2 percent slopes",NA,0.9,0.9,NA,46,46,None,None,8,4.48,8.96,17.95,25.09,Somewhat poorly drained,Somewhat poorly drained,C/D,NA,100,1,92,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Poor,Poor,Somewhat limited,0.481,Slight,8,1,183929
679B,"Blackberry silt loam, 2 to 5 percent slopes",NA,3.5,3.5,NA,84,84,None,None,0,5.75,11.14,20.64,29.52,Moderately well drained,Moderately well drained,C,NA,100,2,100,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Somewhat limited,0.087,Moderate,0,0.677,183947
