taxmoistcl,cokey,cotaxmckey
Aquic,17483836,6562455
Aquic,17483837,6562428
Aquic,17483838,6562456
Aquic,17483839,6562430
Aquic,17483840,6562431
Udic,17483841,6562429
Aquic,17483853,6562441
Udic,17483854,6562440
Aquic,17483924,6562436
Aquic,17483925,6562435
Udic,17483927,6562454
Aquic,17483943,6562442
Aquic,17483944,6562443
Aquic,17483945,6562444
Aquic,17484004,6562491
Udic,17484005,6562490
Aquic,17484006,6562493
Aquic,17484007,6562492
